# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 24.5698 -311864 33.9273 163160 72.8884 72.985 35.4153 120 -228.013 286.525 43.27 412.196 -1679.79 -780.718
50 24.4031 -311864 141.279 163150 72.8835 72.978 35.419 120 137.459 170.878 115.501 300.482 -1881.81 -389.399
100 24.6245 -311864 68.0928 163162 72.884 72.9772 35.4216 120 203.669 281.081 -280.472 173.926 -1449.86 -483.784
150 24.4444 -311863 26.9351 163177 72.8885 72.9828 35.42 120 264.152 85.601 -268.948 100.138 -1694.09 -457.19
200 24.8248 -311863 -270.669 163182 72.8952 72.9888 35.415 120 -448.442 -98.3103 -265.255 160.324 -1700.65 -560.178
250 24.8513 -311862 -174.026 163164 72.8963 72.9915 35.4093 120 -319.601 -388.585 186.107 44.1999 -1670.37 -635.127
300 25.3236 -311862 112.571 163136 72.8915 72.9895 35.4065 120 -322.838 194.277 466.275 59.5635 -1473.2 -410.617
350 25.0874 -311861 221.359 163138 72.8834 72.9927 35.4093 120 225.875 -56.1981 494.4 689.131 -1784.67 -405.831
400 25.5396 -311862 -62.3504 163171 72.8807 72.9959 35.4162 120 167.856 -470.868 115.96 546.149 -1749.19 -282.591
450 25.3456 -311862 -178.233 163197 72.8838 72.9915 35.4225 120 156.429 -122.066 -569.063 87.0347 -1899.63 -413.913
500 25.2883 -311862 61.2644 163200 72.891 72.9847 35.4229 120 166.658 301.028 -283.892 257.246 -2007.93 -558.377
550 25.0836 -311863 -193.807 163192 72.8979 72.9814 35.4194 120 -415.734 27.0375 -192.723 105.331 -1737.57 -418.768
600 24.8954 -311863 -67.116 163177 72.8973 72.9824 35.416 120 -313.661 36.9372 75.376 240.267 -2210.77 -556.568
650 24.6972 -311864 138.684 163159 72.891 72.9845 35.414 120 27.0886 51.6417 337.321 251.166 -1523.23 -573.666
700 24.2618 -311864 179.742 163145 72.8843 72.9848 35.4141 120 140.357 250.839 148.032 10.0281 -1898.51 -572.34
750 24.5218 -311864 -96.7804 163147 72.88 72.9885 35.4149 120 10.9799 -238.72 -62.6012 343.177 -1451.67 -339.53
800 24.7749 -311865 78.9602 163150 72.8763 72.9913 35.4159 120 242.873 44.3076 -50.3006 462.235 -1667.31 -576.786
850 24.9108 -311863 144.271 163165 72.8766 72.9949 35.4174 120 392.491 -67.4959 107.816 372.838 -1440.25 -577.048
900 25.2505 -311863 -556.957 163202 72.8856 72.9973 35.4198 120 -320.017 -506.958 -843.897 317.162 -1785.3 -307.202
950 25.4272 -311862 -86.7864 163200 72.8929 72.9937 35.4176 120 -139.446 22.427 -143.34 256.883 -1907.68 -399.81
1000 25.7736 -311862 240.319 163171 72.8946 72.9901 35.4122 120 122.918 190.777 407.26 208.046 -1933.48 -562.948
1050 25.6656 -311862 41.2088 163159 72.8949 72.9895 35.4098 120 63.5187 -5.23555 65.3433 532.625 -1916.33 -258.771
1100 25.5109 -311862 -97.051 163166 72.8954 72.9889 35.4113 120 -384.593 -0.937011 94.3769 6.02981 -1556.51 -672.357
