# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 500.921 -310997 -667.937 164693 72.5058 72.5058 36.1742 120
50 498.112 -310988 52.5113 164701 72.5071 72.5071 36.1748 120
100 503.601 -310994 -1121.11 164709 72.5082 72.5082 36.1754 120
150 504.927 -310992 -903.666 164715 72.5091 72.5091 36.1758 120
200 505.955 -310990 -243.827 164719 72.5097 72.5097 36.1761 120
250 504.704 -310985 503.592 164723 72.5102 72.5102 36.1763 120
300 505.025 -310984 -73.9808 164727 72.5108 72.5108 36.1766 120
350 507.352 -310989 420.616 164731 72.5114 72.5114 36.1769 120
400 503.91 -310984 195.26 164735 72.512 72.512 36.1773 120
450 505.062 -310989 -455.551 164741 72.5128 72.5128 36.1777 120
500 505.756 -310994 -28.6843 164745 72.5135 72.5135 36.178 120
550 505.673 -310998 603.295 164750 72.5142 72.5142 36.1783 120
600 504.23 -311000 -95.4905 164756 72.515 72.515 36.1788 120
650 502.232 -311001 -198.83 164762 72.5159 72.5159 36.1792 120
700 500.358 -311003 -637.043 164767 72.5167 72.5167 36.1796 120
750 496.695 -311000 -641.008 164771 72.5173 72.5173 36.1799 120
800 501.701 -311014 -506.534 164774 72.5177 72.5177 36.1801 120
850 492.617 -310999 -1634.92 164775 72.5179 72.5179 36.1802 120
900 495.954 -311007 -544.582 164774 72.5177 72.5177 36.1801 120
950 498.497 -311012 -346.213 164771 72.5173 72.5173 36.1799 120
1000 493.702 -311003 348.628 164767 72.5168 72.5168 36.1796 120
1050 498.839 -311011 824.845 164764 72.5162 72.5162 36.1794 120
1100 498.995 -311009 22.1405 164761 72.5159 72.5159 36.1792 120
1150 499.413 -311005 1353.41 164759 72.5156 72.5156 36.179 120
1200 497.542 -310998 -637.809 164759 72.5156 72.5156 36.179 120
1250 501.435 -311001 -223.394 164758 72.5154 72.5154 36.179 120
1300 504.102 -311001 492.877 164757 72.5152 72.5152 36.1789 120
1350 501.612 -310993 -1175.92 164756 72.5151 72.5151 36.1788 120
1400 506.294 -310997 -26.0809 164754 72.5148 72.5148 36.1786 120
1450 507.385 -310997 619.404 164751 72.5144 72.5144 36.1784 120
1500 506.229 -310993 420.578 164750 72.5142 72.5142 36.1783 120
1550 507.366 -310995 1165.35 164749 72.5141 72.5141 36.1783 120
1600 505.654 -310992 1189.06 164751 72.5144 72.5144 36.1784 120
1650 506.545 -310995 69.057 164755 72.515 72.515 36.1787 120
1700 503.814 -310992 -214.751 164760 72.5156 72.5156 36.179 120
1750 507.22 -311001 741.315 164764 72.5163 72.5163 36.1794 120
1800 501.003 -310994 -1440.68 164770 72.5171 72.5171 36.1798 120
1850 504.513 -311005 -10.5186 164774 72.5177 72.5177 36.1801 120
1900 500.281 -311002 816.396 164777 72.5181 72.5181 36.1803 120
1950 498.802 -311004 -603.343 164781 72.5188 72.5188 36.1806 120
2000 496.611 -311004 59.2977 164785 72.5193 72.5193 36.1809 120
2050 499.117 -311011 950.114 164788 72.5197 72.5197 36.1811 120
2100 496.297 -311008 -1322.3 164792 72.5203 72.5203 36.1814 120
2150 495.82 -311009 -1158.72 164794 72.5206 72.5206 36.1815 120
2200 491.676 -311001 -550.871 164793 72.5206 72.5206 36.1815 120
2250 496.42 -311010 -1062.6 164791 72.5203 72.5203 36.1814 120
2300 501.026 -311017 -897.383 164788 72.5198 72.5198 36.1811 120
2350 498.15 -311009 -706.847 164783 72.519 72.519 36.1808 120
2400 497.512 -311004 -61.716 164777 72.5181 72.5181 36.1803 120
2450 497.698 -311000 916.524 164770 72.5172 72.5172 36.1798 120
2500 502.412 -311005 491.326 164765 72.5164 72.5164 36.1795 120
2550 504.488 -311006 1034.21 164762 72.5159 72.5159 36.1792 120
2600 500.084 -310995 -23.0944 164760 72.5156 72.5156 36.179 120
2650 500.601 -310992 644.397 164758 72.5153 72.5153 36.1789 120
2700 504.697 -310998 218.014 164757 72.5152 72.5152 36.1788 120
2750 508.527 -311002 992.751 164757 72.5152 72.5152 36.1788 120
2800 505.519 -310996 619.117 164758 72.5153 72.5153 36.1789 120
2850 505.823 -310997 750.664 164760 72.5157 72.5157 36.1791 120
