# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 71.6362 -311786 -338.506 163432 73.1003 72.9114 35.4071 120 -598.219 -383.609 -33.6892 -1711.9 1916.23 584.085
50 71.0717 -311786 155.838 163422 73.0994 72.9085 35.4069 120 228.252 -94.5509 333.813 -1972.25 1743.47 999.906
100 71.0452 -311787 -140.223 163421 73.0989 72.905 35.4086 120 -46.9006 -1.02499 -372.742 -1704.89 1199.23 539.018
150 70.9042 -311789 229.449 163414 73.0971 72.9016 35.4097 120 380.048 -21.8951 330.194 -1702.81 1942.08 763.254
200 70.7912 -311789 296.643 163416 73.0973 72.8994 35.411 120 631 88.3163 170.614 -1971.27 1421.1 711.188
250 70.0207 -311788 138.222 163424 73.1001 72.8976 35.4123 120 418.568 36.8383 -40.7398 -1719.3 2122.91 671.168
300 70.3838 -311788 -232.004 163435 73.104 72.8954 35.4139 120 -266.108 -323.529 -106.373 -1552.46 1609.51 1185.76
350 70.5338 -311788 -265.627 163446 73.108 72.893 35.4155 120 -464.166 53.7484 -386.464 -2241.27 1654.61 702.894
400 70.8626 -311787 -414.753 163452 73.1093 72.8925 35.4165 120 -538.961 -306.535 -398.765 -1885.27 1829.67 811.355
450 71.4716 -311786 17.566 163444 73.1072 72.8922 35.4159 120 -190.858 371.065 -127.508 -1891.94 1473.69 598.423
500 71.2924 -311785 -274.993 163428 73.1043 72.8922 35.4137 120 -318.873 -324.314 -181.793 -2199.57 1795.48 674.433
550 71.8897 -311786 316.478 163398 73.0994 72.8904 35.4106 120 405.524 512.975 30.9369 -1674.59 1559.92 1189.89
600 72.0793 -311787 445.378 163382 73.0952 72.8917 35.4084 120 9.31367 712.596 614.225 -1786.97 1606.42 652.911
650 71.7469 -311787 487.326 163387 73.0932 72.8969 35.4079 120 393.233 431.44 637.304 -2028.77 1684.83 842.123
700 71.0431 -311787 482.24 163414 73.0941 72.9048 35.4095 120 667.488 246.718 532.515 -1975.59 1419.25 1018.04
750 70.6442 -311787 -52.7777 163458 73.0973 72.9142 35.4129 120 373.192 -217.422 -314.103 -1655.43 1939.75 759.387
800 70.4239 -311788 -704.498 163491 73.1005 72.9209 35.4154 120 -399.308 -1235.59 -478.591 -1130.85 2086.38 922.82
850 70.0912 -311787 -614.475 163490 73.1005 72.9195 35.4156 120 -404.313 -758.218 -680.894 -1794.99 1332.98 1036.73
900 70.5454 -311788 -792.675 163459 73.0968 72.913 35.4141 120 -829.038 -683.874 -865.113 -1720.64 1592.66 832.029
950 70.4644 -311788 200.746 163403 73.0895 72.9025 35.4105 120 313.842 -57.3414 345.738 -1746.67 1927.29 859.745
1000 70.6562 -311788 879.087 163358 73.0846 72.8927 35.408 120 1000.9 781.624 854.737 -1697.21 1670.74 739.168
1050 70.8968 -311787 578.877 163359 73.0861 72.8907 35.4083 120 674.581 346.292 715.757 -1959.45 1540.01 718.544
1100 71.4729 -311786 -108.256 163397 73.0936 72.8937 35.4115 120 17.5199 204.495 -546.784 -2105.62 1470.41 865.055
1150 71.4603 -311786 82.4564 163438 73.1024 72.8969 35.4146 120 -228.217 321.227 154.359 -2112.99 1642.43 816.558
1200 71.3734 -311785 -247.809 163476 73.1098 72.9006 35.4174 120 -340.136 141.104 -544.395 -1476.52 1560 930.358
1250 71.3247 -311785 -862.745 163487 73.1124 72.9036 35.4172 120 -572.728 -447.371 -1568.14 -1845.85 1897.75 1047.79
1300 71.6616 -311787 -351.877 163461 73.1095 72.9037 35.4128 120 -695.738 -257.887 -102.006 -1841.56 1528.26 529.843
1350 71.3255 -311787 -38.7055 163422 73.1031 72.9021 35.4083 120 -81.1446 517.477 -552.449 -1738.53 1204.34 665.201
1400 70.8591 -311788 608.198 163390 73.0967 72.9025 35.4042 120 -156.966 710.91 1270.65 -1869.21 1447.76 556.797
1450 70.5096 -311789 143.619 163380 73.0904 72.9057 35.4034 120 179.291 -161.44 413.004 -1755.3 1210.6 1384.33
1500 70.1966 -311789 534.127 163380 73.0862 72.9083 35.4044 120 783.372 -121.677 940.687 -1584.32 1656.51 597.031
1550 70.9287 -311789 257.206 163404 73.0864 72.911 35.408 120 -36.396 -7.9718 815.987 -1581.84 1246.43 633.669
1600 70.9727 -311789 -213.588 163436 73.087 72.9134 35.4137 120 384.44 -271.724 -753.479 -1831.02 1945.13 728.686
1650 71.0481 -311787 -452.771 163457 73.0892 72.913 35.4173 120 257.168 -754.969 -860.512 -1816.08 1669.44 672.979
1700 70.8176 -311785 -385.768 163459 73.0924 72.9084 35.4184 120 -279.355 -366.531 -511.419 -1473.39 1550.2 1023.52
1750 72.0477 -311787 -309.5 163443 73.094 72.9019 35.4172 120 -108.604 -83.3426 -736.554 -1846.73 2024.22 406.247
1800 71.5963 -311786 313.25 163412 73.0943 72.8956 35.4136 120 44.1294 699.306 196.315 -2054.79 1367.83 1003.32
1850 71.5705 -311786 338.889 163395 73.096 72.8934 35.41 120 398.89 436.483 181.294 -1771.97 2044.49 365.126
1900 71.3685 -311786 -306.383 163393 73.0996 72.895 35.4069 120 -491.759 -215.739 -211.651 -2029.07 1287.3 1124.33
