# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 731.308 -310358 -4622.97 165214 72.5822 72.5822 36.2123 120
50 728.304 -310363 -4008.75 165170 72.5758 72.5758 36.2091 120
100 728.053 -310373 -4353.14 165128 72.5696 72.5696 36.206 120
150 727.504 -310382 -4779.4 165086 72.5634 72.5634 36.2029 120
200 720.578 -310379 -4614.64 165045 72.5574 72.5574 36.1999 120
250 722.234 -310392 -4665.16 165005 72.5516 72.5516 36.197 120
300 724.09 -310406 -4991.89 164966 72.5458 72.5458 36.1941 120
350 717.892 -310404 -5173.96 164927 72.5402 72.5402 36.1913 120
400 717.841 -310414 -5001.3 164890 72.5347 72.5347 36.1886 120
450 720.668 -310429 -4608.41 164853 72.5292 72.5292 36.1859 120
500 715.36 -310429 -4262.78 164816 72.5239 72.5239 36.1832 120
550 711.072 -310431 -3837.82 164781 72.5187 72.5187 36.1806 120
600 714.261 -310447 -3341.26 164746 72.5136 72.5136 36.1781 120
650 712.551 -310453 -2600.68 164712 72.5087 72.5087 36.1756 120
700 712.167 -310462 -2145.69 164679 72.5038 72.5038 36.1732 120
750 705.005 -310458 -1710.64 164647 72.499 72.499 36.1708 120
800 703.271 -310464 -1500.05 164615 72.4944 72.4944 36.1685 120
850 701.022 -310469 -1157.98 164584 72.4898 72.4898 36.1662 120
900 697.868 -310473 -581.198 164554 72.4854 72.4854 36.164 120
950 694.278 -310474 96.0561 164525 72.4811 72.4811 36.1618 120
1000 692.007 -310478 460.331 164496 72.4769 72.4769 36.1598 120
1050 686.59 -310477 806.717 164468 72.4728 72.4728 36.1577 120
1100 689.964 -310492 861.909 164441 72.4689 72.4689 36.1557 120
1150 691.143 -310502 629.342 164415 72.465 72.465 36.1538 120
1200 689.083 -310507 -149.57 164390 72.4613 72.4613 36.1519 120
1250 684.641 -310507 -956.796 164365 72.4576 72.4576 36.1501 120
1300 683.128 -310512 -1482.03 164341 72.4541 72.4541 36.1484 120
1350 683.834 -310522 -1846.65 164317 72.4506 72.4506 36.1466 120
1400 682.073 -310527 -1802.64 164294 72.4472 72.4472 36.1449 120
1450 681.28 -310534 -1588.83 164271 72.4438 72.4438 36.1432 120
1500 676.409 -310533 -1192.87 164249 72.4406 72.4406 36.1416 120
1550 678.148 -310544 -577.83 164227 72.4374 72.4374 36.14 120
1600 675.794 -310547 340.123 164206 72.4342 72.4342 36.1384 120
1650 668.917 -310542 1138.75 164185 72.4312 72.4312 36.1369 120
1700 665.882 -310544 1950.19 164165 72.4282 72.4282 36.1354 120
1750 669.124 -310557 2788.37 164145 72.4253 72.4253 36.134 120
1800 668.938 -310564 3248.2 164126 72.4226 72.4226 36.1326 120
1850 662.575 -310559 3540.72 164108 72.4199 72.4199 36.1313 120
1900 661.933 -310565 3789.45 164090 72.4173 72.4173 36.13 120
1950 665.816 -310580 3685.03 164074 72.4148 72.4148 36.1288 120
2000 663.2 -310582 3486.39 164057 72.4124 72.4124 36.1276 120
2050 660.355 -310583 3219.63 164042 72.4101 72.4101 36.1264 120
2100 658.593 -310587 2780.35 164026 72.4079 72.4079 36.1253 120
2150 657.752 -310592 2370.22 164012 72.4057 72.4057 36.1242 120
2200 659.562 -310602 2311.69 163998 72.4037 72.4037 36.1232 120
2250 658.296 -310606 2708.19 163984 72.4017 72.4017 36.1222 120
2300 654.304 -310605 3147.21 163971 72.3997 72.3997 36.1212 120
2350 653.838 -310610 3346.55 163958 72.3979 72.3979 36.1203 120
2400 652.713 -310614 3649.5 163946 72.3961 72.3961 36.1194 120
2450 646.981 -310609 4216.29 163935 72.3944 72.3944 36.1186 120
2500 645.077 -310612 4344.54 163923 72.3927 72.3927 36.1177 120
2550 641.112 -310610 4441.07 163913 72.3911 72.3911 36.117 120
2600 639.571 -310613 4383.13 163903 72.3897 72.3897 36.1162 120
2650 643.434 -310627 3965.09 163893 72.3882 72.3882 36.1155 120
2700 638.962 -310624 4177 163884 72.3869 72.3869 36.1148 120
2750 640.513 -310632 4697.72 163875 72.3856 72.3856 36.1142 120
2800 645.327 -310646 5101.73 163867 72.3844 72.3844 36.1136 120
2850 637.116 -310636 5536.97 163859 72.3833 72.3833 36.113 120
2900 634.263 -310635 5896.74 163852 72.3822 72.3822 36.1125 120
2950 641.292 -310654 6212.48 163845 72.3812 72.3812 36.112 120
3000 636.655 -310650 6619.61 163839 72.3803 72.3803 36.1115 120
3050 639.134 -310659 6294.23 163833 72.3795 72.3795 36.1111 120
3100 636.055 -310658 5882.11 163828 72.3787 72.3787 36.1107 120
3150 629.926 -310651 5579.44 163824 72.378 72.378 36.1104 120
3200 631.357 -310659 5061.26 163819 72.3774 72.3774 36.1101 120
3250 628.121 -310658 4887.94 163815 72.3768 72.3768 36.1098 120
3300 630.768 -310667 4685.36 163812 72.3763 72.3763 36.1096 120
