# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 361.241 -311252 631.626 164370 72.4584 72.4584 36.1505 120
50 363.385 -311256 111.628 164361 72.4571 72.4571 36.1499 120
100 359.997 -311251 -718.858 164350 72.4555 72.4555 36.1491 120
150 361.274 -311256 1043.09 164335 72.4533 72.4533 36.148 120
200 358.686 -311255 1131.22 164326 72.4519 72.4519 36.1473 120
250 359.679 -311259 -73.5953 164324 72.4517 72.4517 36.1472 120
300 358.521 -311258 1155.16 164326 72.4519 72.4519 36.1473 120
350 358.104 -311258 478.632 164338 72.4537 72.4537 36.1482 120
400 358.692 -311257 380.674 164357 72.4565 72.4565 36.1496 120
450 357.876 -311254 -423.384 164379 72.4597 72.4597 36.1512 120
500 360.115 -311256 73.6591 164396 72.4622 72.4622 36.1524 120
550 360.76 -311253 754.546 164409 72.4641 72.4641 36.1534 120
600 362.121 -311253 771.112 164426 72.4667 72.4667 36.1546 120
650 364.245 -311257 -255.888 164450 72.4702 72.4702 36.1564 120
700 364.277 -311258 -596.126 164474 72.4737 72.4737 36.1582 120
750 362.406 -311256 -218.25 164492 72.4763 72.4763 36.1594 120
800 358.609 -311251 -622.594 164502 72.4778 72.4778 36.1602 120
850 360.058 -311257 -5.12504 164502 72.4778 72.4778 36.1602 120
900 361.15 -311261 -1030.29 164495 72.4768 72.4768 36.1597 120
950 354.742 -311249 -1051.54 164479 72.4745 72.4745 36.1585 120
1000 359.145 -311258 -311.042 164457 72.4712 72.4712 36.1569 120
1050 357.234 -311253 488.232 164432 72.4675 72.4675 36.155 120
1100 360.046 -311256 118.946 164406 72.4637 72.4637 36.1532 120
1150 359.216 -311252 130.205 164383 72.4603 72.4603 36.1514 120
1200 359.961 -311252 731.161 164358 72.4567 72.4567 36.1497 120
1250 360.286 -311252 692.085 164338 72.4537 72.4537 36.1482 120
1300 360.152 -311252 356.406 164323 72.4514 72.4514 36.147 120
1350 364.416 -311262 1586 164315 72.4503 72.4503 36.1465 120
1400 360.028 -311255 1707.67 164320 72.4511 72.4511 36.1469 120
1450 362.702 -311263 475.826 164342 72.4543 72.4543 36.1485 120
1500 359.354 -311259 261.404 164374 72.459 72.459 36.1508 120
1550 357.644 -311256 -739.79 164410 72.4643 72.4643 36.1535 120
1600 356.915 -311255 -445.588 164447 72.4697 72.4697 36.1561 120
1650 362.425 -311264 -983.418 164478 72.4743 72.4743 36.1584 120
1700 355.762 -311249 -229.323 164500 72.4775 72.4775 36.16 120
1750 361.128 -311255 -560.926 164513 72.4794 72.4794 36.161 120
1800 360.152 -311251 -923.398 164520 72.4804 72.4804 36.1615 120
1850 362.046 -311254 -1097.24 164518 72.4801 72.4801 36.1614 120
1900 361.317 -311253 256.509 164503 72.4779 72.4779 36.1602 120
1950 359.485 -311252 -373.442 164483 72.475 72.475 36.1588 120
