# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 10 -308813 -228060 172712 73.664 73.664 36.752 120
50 114.602 -310317 -52439.7 162177 72.1347 72.1347 35.989 120
100 283.467 -311141 7139.98 157420 71.4224 71.4224 35.6336 120
150 208.562 -311421 -1922.17 160095 71.8247 71.8247 35.8344 120
200 132.318 -311512 19970.6 160395 71.8696 71.8696 35.8567 120
250 84.7464 -311580 -8227.66 162010 72.11 72.11 35.9767 120
300 59.3068 -311631 7568.07 161913 72.0955 72.0955 35.9695 120
350 45.7148 -311671 -3399.24 162304 72.1536 72.1536 35.9984 120
400 36.704 -311702 1232.3 162290 72.1515 72.1515 35.9974 120
450 30.0242 -311723 -199.595 162327 72.157 72.157 36.0001 120
500 25.3361 -311740 6.26445 162367 72.1629 72.1629 36.0031 120
550 21.0997 -311751 685.788 162404 72.1683 72.1683 36.0058 120
600 17.7427 -311758 -938.863 162471 72.1782 72.1782 36.0107 120
650 16.6139 -311769 908.406 162421 72.1709 72.1709 36.0071 120
700 14.5562 -311774 -364.52 162515 72.1848 72.1848 36.014 120
750 13.4499 -311780 329.244 162544 72.1891 72.1891 36.0162 120
800 12.8475 -311786 -74.9201 162596 72.1967 72.1967 36.02 120
850 11.6495 -311790 -113.555 162614 72.1995 72.1995 36.0213 120
900 11.0528 -311794 249.598 162606 72.1982 72.1982 36.0207 120
950 10.6101 -311797 -84.2434 162644 72.2039 72.2039 36.0235 120
1000 10.4098 -311800 102.368 162665 72.207 72.207 36.0251 120
1050 10.7825 -311804 98.9403 162690 72.2106 72.2106 36.0269 120
1100 10.1973 -311806 -186.119 162708 72.2134 72.2134 36.0283 120
1150 10.2065 -311809 276.278 162693 72.2112 72.2112 36.0272 120
1200 9.90814 -311811 -59.9649 162737 72.2176 72.2176 36.0304 120
1250 9.54167 -311812 -80.4783 162771 72.2227 72.2227 36.0329 120
1300 9.57896 -311813 -135.45 162775 72.2233 72.2233 36.0332 120
1350 9.73296 -311815 46.3826 162757 72.2206 72.2206 36.0319 120
1400 9.97265 -311816 -29.1415 162751 72.2197 72.2197 36.0314 120
1450 9.74055 -311817 48.7205 162752 72.2199 72.2199 36.0315 120
1500 10.0607 -311818 122.639 162772 72.2228 72.2228 36.033 120
1550 10.5174 -311819 -108.408 162796 72.2264 72.2264 36.0348 120
1600 10.2031 -311820 164.132 162793 72.2259 72.2259 36.0345 120
1650 10.0974 -311821 46.3528 162821 72.23 72.23 36.0366 120
1700 9.66984 -311821 -122.628 162830 72.2315 72.2315 36.0373 120
1750 9.93284 -311822 55.6362 162805 72.2277 72.2277 36.0354 120
1800 10.0626 -311824 191.893 162813 72.2289 72.2289 36.036 120
1850 10.3618 -311825 -102.176 162852 72.2347 72.2347 36.0389 120
1900 10.3308 -311827 12.5434 162855 72.2352 72.2352 36.0391 120
1950 10.0495 -311827 199.059 162852 72.2346 72.2346 36.0389 120
2000 9.71207 -311828 -28.4903 162889 72.2401 72.2401 36.0416 120
2050 9.84854 -311829 -184.418 162913 72.2436 72.2436 36.0434 120
2100 9.40242 -311829 106.698 162875 72.2381 72.2381 36.0406 120
2150 9.66425 -311830 85.7909 162865 72.2366 72.2366 36.0398 120
2200 9.47366 -311830 -97.8845 162888 72.24 72.24 36.0416 120
2250 9.74502 -311830 -2.36466 162887 72.2398 72.2398 36.0414 120
2300 9.85766 -311829 139.34 162885 72.2396 72.2396 36.0413 120
2350 10.0223 -311829 98.4354 162916 72.2441 72.2441 36.0436 120
2400 10.2398 -311828 -153.277 162950 72.2491 72.2491 36.0461 120
2450 10.4148 -311828 72.5997 162937 72.2472 72.2472 36.0452 120
2500 10.5173 -311829 5.97468 162924 72.2452 72.2453 36.0442 120
2550 10.514 -311829 55.3565 162921 72.2449 72.2449 36.044 120
2600 10.5939 -311830 -204.457 162924 72.2453 72.2453 36.0442 120
2650 10.2803 -311830 98.3233 162887 72.2399 72.2399 36.0415 120
2700 9.73593 -311831 306.055 162900 72.2418 72.2418 36.0424 120
2750 9.59127 -311832 -173.203 162963 72.2511 72.2511 36.0471 120
2800 9.48303 -311832 67.4616 162960 72.2507 72.2507 36.0469 120
2850 9.64255 -311833 45.4726 162961 72.2508 72.2508 36.0469 120
2900 9.57845 -311833 -157.449 162969 72.2519 72.2519 36.0475 120
2950 9.59523 -311832 46.3948 162937 72.2472 72.2472 36.0451 120
3000 9.9676 -311833 152.251 162918 72.2444 72.2444 36.0438 120
3050 10.3455 -311832 42.8076 162940 72.2477 72.2477 36.0454 120
3100 10.9505 -311833 -146.719 162962 72.2509 72.2509 36.047 120
3150 10.6716 -311832 65.49 162957 72.2502 72.2502 36.0466 120
3200 10.5066 -311833 85.0765 162974 72.2528 72.2528 36.0479 120
3250 10.2472 -311834 -122.994 162997 72.2561 72.2561 36.0496 120
