# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 1908.56 -308106 27504.1 165817 72.6704 72.6704 36.2563 120
500 1869.33 -308087 45853.6 166110 72.7131 72.7131 36.2776 120
1000 1876.36 -308144 41705.7 166385 72.7532 72.7532 36.2976 120
1500 1879.09 -308173 12771.2 166643 72.7909 72.7909 36.3164 120
2000 1872.82 -308151 -14519.4 166881 72.8256 72.8256 36.3337 120
2500 1852.77 -308079 -24870.9 167102 72.8576 72.8576 36.3497 120
3000 1900.4 -308124 -11613.7 167307 72.8875 72.8875 36.3646 120
3500 1926.06 -308124 12932.3 167500 72.9154 72.9154 36.3785 120
4000 1913.17 -308053 33479.9 167680 72.9415 72.9415 36.3915 120
4500 1936.2 -308073 32528.3 167846 72.9656 72.9656 36.4036 120
5000 1933.93 -308069 12702.3 167999 72.9878 72.9878 36.4146 120
5500 1896.76 -308016 -15450.3 168139 73.0081 73.0081 36.4248 120
6000 1867.21 -307990 -26396.3 168265 73.0262 73.0262 36.4338 120
6500 1896.26 -308086 -18880.5 168377 73.0425 73.0425 36.4419 120
7000 1891.13 -308111 2451.25 168477 73.0569 73.0569 36.4491 120
7500 1872.54 -308097 19476.3 168564 73.0695 73.0695 36.4554 120
8000 1883.36 -308127 19057.7 168640 73.0805 73.0805 36.4609 120
8500 1885.15 -308123 6061.59 168704 73.0898 73.0898 36.4655 120
9000 1893.05 -308119 -12752.5 168758 73.0975 73.0975 36.4694 120
9500 1877.41 -308060 -22828.5 168803 73.104 73.104 36.4726 120
10000 1905.18 -308086 -16556.3 168840 73.1093 73.1093 36.4753 120
10500 1923.67 -308095 -1050.21 168869 73.1136 73.1136 36.4774 120
11000 1925.16 -308081 14325.9 168893 73.117 73.117 36.4791 120
11500 1927.7 -308086 16697.1 168915 73.1203 73.1203 36.4807 120
12000 1911.01 -308070 7438.4 168935 73.1231 73.1231 36.4821 120
12500 1916.84 -308106 -11215.1 168952 73.1255 73.1255 36.4833 120
13000 1897.45 -308097 -14616.8 168964 73.1273 73.1273 36.4842 120
13500 1886.04 -308107 -11848.1 168978 73.1293 73.1293 36.4852 120
14000 1884.33 -308124 -1333.46 168992 73.1313 73.1313 36.4862 120
14500 1879.26 -308117 12350.6 169003 73.1329 73.1329 36.487 120
15000 1881.87 -308113 14138.1 169012 73.1342 73.1342 36.4877 120
15500 1900.2 -308128 3025.93 169018 73.1351 73.1351 36.4881 120
16000 1914.8 -308128 -8413.44 169022 73.1356 73.1356 36.4884 120
16500 1882.21 -308037 -14233 169024 73.1359 73.1359 36.4885 120
17000 1921.41 -308099 -9045.95 169026 73.1362 73.1362 36.4887 120
17500 1925.06 -308106 2380.48 169026 73.1362 73.1362 36.4887 120
18000 1902.41 -308073 11741.1 169027 73.1364 73.1364 36.4888 120
18500 1894.9 -308083 10118.7 169028 73.1365 73.1365 36.4888 120
19000 1897.69 -308118 4737.2 169028 73.1365 73.1366 36.4888 120
19500 1891.18 -308130 -7497.99 169028 73.1365 73.1365 36.4888 120
20000 1880.18 -308128 -12556.2 169028 73.1365 73.1365 36.4888 120
20500 1893.7 -308166 -9305.45 169027 73.1363 73.1363 36.4887 120
21000 1924.3 -308226 3279.2 169022 73.1356 73.1356 36.4884 120
21500 1903.29 -308171 10257 169016 73.1347 73.1347 36.4879 120
22000 1882.9 -308108 6265.3 169012 73.1341 73.1341 36.4876 120
22500 1898.39 -308113 2861.42 169007 73.1334 73.1334 36.4873 120
23000 1926.79 -308149 -5868.46 169005 73.1331 73.1331 36.4871 120
23500 1911.66 -308109 -7058.46 169003 73.1329 73.1329 36.487 120
24000 1894.16 -308073 -4020.5 169002 73.1327 73.1327 36.4869 120
24500 1920.77 -308131 6281.1 169002 73.1328 73.1328 36.487 120
25000 1914.33 -308138 8954.5 169008 73.1336 73.1336 36.4874 120
25500 1901.6 -308137 8960.83 169017 73.1349 73.1349 36.488 120
26000 1896.58 -308154 273.794 169030 73.1368 73.1368 36.489 120
26500 1883.96 -308151 -2372.05 169044 73.1388 73.1388 36.49 120
27000 1879.78 -308153 -9115.92 169061 73.1412 73.1412 36.4912 120
27500 1882.13 -308157 -4838.98 169075 73.1433 73.1433 36.4922 120
28000 1891.1 -308164 1047.81 169089 73.1453 73.1453 36.4932 120
28500 1912.73 -308183 7961.99 169102 73.1472 73.1472 36.4942 120
29000 1906.87 -308145 6924.89 169117 73.1493 73.1493 36.4952 120
29500 1899.54 -308106 2100.11 169133 73.1516 73.1516 36.4964 120
30000 1927.64 -308146 -3990.57 169150 73.1541 73.1541 36.4976 120
30500 1911.42 -308109 -1263.4 169169 73.1568 73.1568 36.499 120
31000 1901.79 -308101 -4539.04 169192 73.1602 73.1602 36.5006 120
31500 1902.78 -308123 1211.14 169216 73.1636 73.1636 36.5024 120
32000 1901.1 -308146 4483.29 169240 73.167 73.167 36.504 120
32500 1891.89 -308153 5408.72 169261 73.17 73.17 36.5055 120
33000 1887.4 -308163 -2874.87 169280 73.1728 73.1728 36.507 120
33500 1885.8 -308166 -5221.23 169296 73.1752 73.1752 36.5081 120
34000 1883.2 -308153 -5700.43 169309 73.177 73.177 36.5091 120
34500 1885.47 -308134 -1952.98 169320 73.1786 73.1786 36.5098 120
35000 1897.86 -308129 558.658 169329 73.1799 73.1799 36.5105 120
35500 1925.32 -308154 886.724 169333 73.1805 73.1805 36.5108 120
36000 1926.05 -308135 1334.24 169332 73.1803 73.1803 36.5107 120
36500 1907.93 -308095 -2141.88 169331 73.1801 73.1801 36.5106 120
37000 1911 -308112 -3282.45 169327 73.1796 73.1796 36.5103 120
37500 1909.05 -308129 -2221.42 169322 73.1788 73.1788 36.5099 120
38000 1899.26 -308134 266.395 169314 73.1778 73.1778 36.5094 120
38500 1900.55 -308161 -19.7982 169306 73.1766 73.1766 36.5088 120
39000 1885.45 -308150 -2464.54 169295 73.175 73.175 36.508 120
39500 1895.88 -308176 -1767.19 169281 73.1729 73.173 36.507 120
40000 1887.72 -308155 -1031.73 169266 73.1708 73.1708 36.5059 120
40500 1884.61 -308134 -2332.03 169252 73.1688 73.1688 36.5049 120
41000 1896.5 -308137 1019.53 169238 73.1667 73.1667 36.5039 120
41500 1902.1 -308129 1522.56 169225 73.1649 73.1649 36.503 120
42000 1909.14 -308131 -640.324 169211 73.1629 73.1629 36.502 120
42500 1908.9 -308121 809.587 169194 73.1604 73.1604 36.5008 120
43000 1903.25 -308114 -2992.97 169179 73.1583 73.1583 36.4997 120
43500 1903.63 -308128 -3582.51 169166 73.1564 73.1564 36.4988 120
44000 1901.01 -308139 -15.781 169154 73.1547 73.1547 36.4979 120
44500 1895.44 -308147 3034.58 169145 73.1534 73.1534 36.4973 120
45000 1886 -308143 3218.24 169139 73.1525 73.1525 36.4968 120
45500 1899.08 -308176 4278.24 169135 73.152 73.152 36.4965 120
46000 1893.73 -308163 1922.92 169135 73.152 73.152 36.4966 120
46500 1889.13 -308145 1057.13 169138 73.1524 73.1524 36.4967 120
47000 1888.85 -308130 -453.161 169145 73.1534 73.1534 36.4972 120
47500 1890.23 -308115 -25.2494 169157 73.155 73.155 36.4981 120
48000 1912.98 -308144 2664.87 169173 73.1574 73.1574 36.4992 120
48500 1885.78 -308082 6378.08 169192 73.1601 73.1601 36.5006 120
49000 1916.22 -308136 7367.65 169213 73.1632 73.1632 36.5021 120
49500 1900.34 -308105 1670.28 169239 73.1669 73.1669 36.504 120
50000 1916.5 -308142 -2021.14 169266 73.1708 73.1708 36.5059 120
